tag_full_name;description;data_type;direction;ab_type;ab_addr;ab_off;selector;other
ctp7.A0_DI1;управл в авт НА1;BOOL (1 bit);R;ИНР;3;0;&h01;, , , , , , 
ctp7.A0_DI2;управл в авт НА2;BOOL (1 bit);R;ИНР;3;4;&h01;, , , , , , 
ctp7.A0_DI3;управл в авт НА3;BOOL (1 bit);R;ИНР;3;8;&h01;, , , , , , 
ctp7.A0_DI4;управл в авт НА4;BOOL (1 bit);R;ИНР;3;12;&h01;, , , , , , 
ctp7.A3_DI12;wilo в работе;BOOL (1 bit);R;ИНР;3;16;&h01;, , , , , , 
ctp7.A3_DI13;wilo?;BOOL (1 bit);R;ИНР;3;20;&h01;, , , , , , 
ctp7.A3_DI14;wilo авария;BOOL (1 bit);R;ИНР;3;24;&h01;, , , , , , 
ctp7.A3_DI15;wilo гот к автом;BOOL (1 bit);R;ИНР;3;28;&h01;, , , , , , 
ctp7.A3_DI16;wilo в ручном режиме;BOOL (1 bit);R;ИНР;3;32;&h01;, , , , , , 
ctp7.MB_NET;Ошибка MB;BOOL (1 bit);R;ИНР;3;36;&h01;, , , , , , 
ctp7.A17_fN1;частота НА1;FLOAT (4 bytes);R;ИНР;3;44;&h01;, , , , , , 
ctp7.A33_fN2;частота НА2;FLOAT (4 bytes);R;ИНР;3;52;&h01;, , , , , , 
ctp7.A49_fN3;частота НА3;FLOAT (4 bytes);R;ИНР;3;60;&h01;, , , , , , 
ctp7.A65_fN3;частота НА4;FLOAT (4 bytes);R;ИНР;3;64;&h01;, , , , , , 
ctp7.A1_DI1;неисправность НА1;BOOL (1 bit);R;ИНР;3;68;&h01;, , , , , , 
ctp7.A1_DI2;неисправность НА2;BOOL (1 bit);R;ИНР;3;72;&h01;, , , , , , 
ctp7.A1_DI3;неисправность НА3;BOOL (1 bit);R;ИНР;3;76;&h01;, , , , , , 
ctp7.A1_DI4;неисправность НА4;BOOL (1 bit);R;ИНР;3;80;&h01;, , , , , , 
ctp7.A1_DI9;работа НА1;BOOL (1 bit);R;ИНР;3;100;&h01;, , , , , , 
ctp7.A1_DI10;работа НА2;BOOL (1 bit);R;ИНР;3;104;&h01;, , , , , , 
ctp7.A1_DI11;работа НА3;BOOL (1 bit);R;ИНР;3;108;&h01;, , , , , , 
ctp7.A1_DI12;работа НА4;BOOL (1 bit);R;ИНР;3;112;&h01;, , , , , , 
ctp7.A32_DI10;работа НА2 ручн;BOOL (1 bit);R;ИНР;3;116;&h01;, , , , , , 
ctp7.A32_DI11;работа НА2 рег f;BOOL (1 bit);R;ИНР;3;120;&h01;, , , , , , 
ctp7.A32_DI12;работа НА2;BOOL (1 bit);R;ИНР;3;124;&h01;, , , , , , 
ctp7.A32_DI13;работа НА2 автом;BOOL (1 bit);R;ИНР;3;128;&h01;, , , , , , 
ctp7.A32_DI14;НА2 ошибка;BOOL (1 bit);R;ИНР;3;132;&h01;, , , , , , 
ctp7.A32_DI15;контроллер НА2 гот;BOOL (1 bit);R;ИНР;3;136;&h01;, , , , , , 
ctp7.A32_DI16;контроллер НА2 раб;BOOL (1 bit);R;ИНР;3;140;&h01;, , , , , , 
ctp7.A48_DI10;работа НА3 ручн;BOOL (1 bit);R;ИНР;3;144;&h01;, , , , , , 
ctp7.A48_DI11;работа НА3 рег f;BOOL (1 bit);R;ИНР;3;148;&h01;, , , , , , 
ctp7.A48_DI12;работа НА3;BOOL (1 bit);R;ИНР;3;152;&h01;, , , , , , 
ctp7.A48_DI13;работа НА3 автом;BOOL (1 bit);R;ИНР;3;156;&h01;, , , , , , 
ctp7.A48_DI14;НА3 ошибка;BOOL (1 bit);R;ИНР;3;160;&h01;, , , , , , 
ctp7.A48_DI15;контроллер НА3 гот;BOOL (1 bit);R;ИНР;3;164;&h01;, , , , , , 
ctp7.A48_DI16;контроллер НА3 раб;BOOL (1 bit);R;ИНР;3;168;&h01;, , , , , , 
ctp7.A16_DI10;работа НА1 ручн;BOOL (1 bit);R;ИНР;3;172;&h01;, , , , , , 
ctp7.A16_DI11;работа НА1 рег f;BOOL (1 bit);R;ИНР;3;176;&h01;, , , , , , 
ctp7.A16_DI12;работа НА1;BOOL (1 bit);R;ИНР;3;180;&h01;, , , , , , 
ctp7.A16_DI13;работа НА1 автом;BOOL (1 bit);R;ИНР;3;184;&h01;, , , , , , 
ctp7.A16_DI14;НА1 ошибка;BOOL (1 bit);R;ИНР;3;188;&h01;, , , , , , 
ctp7.A16_DI15;контроллер НА1 гот;BOOL (1 bit);R;ИНР;3;192;&h01;, , , , , , 
ctp7.A16_DI16;контроллер НА1 раб;BOOL (1 bit);R;ИНР;3;196;&h01;, , , , , , 
ctp7.A4_PK;Давление выходной коллектор;FLOAT (4 bytes);R;ИНР;3;208;;1, 0, , 0, 10, , 
ctp7.A64_DI10;работа НА4 ручн;BOOL (1 bit);R;ИНР;3;244;&h01;, , , , , , 
ctp7.A64_DI11;работа НА4 рег f;BOOL (1 bit);R;ИНР;3;248;&h01;, , , , , , 
ctp7.A64_DI12;работа НА4;BOOL (1 bit);R;ИНР;3;252;&h01;, , , , , , 
ctp7.A64_DI13;работа НА4 автом;BOOL (1 bit);R;ИНР;3;256;&h01;, , , , , , 
ctp7.A64_DI14;НА4 ошибка;BOOL (1 bit);R;ИНР;3;260;&h01;, , , , , , 
ctp7.A64_DI15;контроллер НА4 гот;BOOL (1 bit);R;ИНР;3;264;&h01;, , , , , , 
ctp7.A64_DI16;контроллер НА4 раб;BOOL (1 bit);R;ИНР;3;268;&h01;, , , , , , 
