tag_full_name;description;data_type;direction;ab_type;ab_addr;ab_off;selector;other
sev.DI4.DI_4;Резерв;BOOL (1 bit);R;ИНР;1;76;&h08;, , , , , , 
sev.DI4.DI_5;Резерв;BOOL (1 bit);R;ИНР;1;76;&h10;, , , , , , 
sev.DI4.DI_6;Резерв;BOOL (1 bit);R;ИНР;1;76;&h20;, , , , , , 
sev.DI4.DI_7;Резерв;BOOL (1 bit);R;ИНР;1;76;&h40;, , , , , , 
sev.DI4.DI_8;Резерв;BOOL (1 bit);R;ИНР;1;76;&h80;, , , , , , 
sev.DI5;ПЗэ6;INT (1 byte);R;ИНР;1;80;;, , , , , , 
sev.DI5.DI_1;Открыто;BOOL (1 bit);R;ИНР;1;80;&h01;, , , , , , 
sev.DI5.DI_2;Движение;BOOL (1 bit);R;ИНР;1;80;&h02;, , , , , , 
sev.DI5.DI_3;Резерв;BOOL (1 bit);R;ИНР;1;80;&h04;, , , , , , 
sev.DI5.DI_4;Резерв;BOOL (1 bit);R;ИНР;1;80;&h08;, , , , , , 
sev.DI5.DI_5;Резерв;BOOL (1 bit);R;ИНР;1;80;&h10;, , , , , , 
sev.DI5.DI_6;Резерв;BOOL (1 bit);R;ИНР;1;80;&h20;, , , , , , 
sev.DI5.DI_7;Резерв;BOOL (1 bit);R;ИНР;1;80;&h40;, , , , , , 
sev.DI5.DI_8;Резерв;BOOL (1 bit);R;ИНР;1;80;&h80;, , , , , , 
sev.DI6;КШэ1;INT (1 byte);R;ИНР;1;84;;, , , , , , 
sev.DI6.DI_1;Открыто;BOOL (1 bit);R;ИНР;1;84;&h01;, , , , , , 
sev.DI6.DI_2;Движение;BOOL (1 bit);R;ИНР;1;84;&h02;, , , , , , 
sev.DI6.DI_3;Резерв;BOOL (1 bit);R;ИНР;1;84;&h04;, , , , , , 
sev.DI6.DI_4;Резерв;BOOL (1 bit);R;ИНР;1;84;&h08;, , , , , , 
sev.DI6.DI_5;Резерв;BOOL (1 bit);R;ИНР;1;84;&h10;, , , , , , 
